                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2323,                 4.7129,                 4.4122,                0.00104,                0.14161,                0.00115,                0.00016,                    nan,                    nan,                    nan,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.1038,                 4.3287,                   4.08,                 0.0006,                0.08586,                0.00062,                 0.0001,                    nan,                    nan,                    nan,             0.00040594,             0.00040594,             0.00040594
                      3,                 3.0052,                 3.8747,                 3.7538,                 0.0011,                0.15423,                0.00173,                0.00022,                    nan,                    nan,                    nan,             0.00060772,             0.00060772,             0.00060772
                      4,                 2.8496,                 3.5815,                 3.4272,                0.00256,                0.06838,                0.00294,                0.00055,                    nan,                    nan,                    nan,             0.00080535,             0.00080535,             0.00080535
                      5,                 2.6449,                 3.4898,                 3.2116,                0.00937,                0.01389,                0.00364,                0.00107,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.5493,                 3.4095,                 2.9967,                 0.0069,                0.13107,                 0.0209,                0.00919,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                  2.248,                    3.2,                  2.727,                0.05599,                0.02671,                0.02375,                0.01066,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.0767,                 3.0878,                 2.5384,                0.44795,                0.04881,                0.04049,                0.02042,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.9115,                 2.9734,                 2.3726,                0.39627,                0.05682,                0.05869,                0.02707,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.8396,                 2.9417,                  2.278,                0.33292,                0.06964,                0.04329,                0.02481,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.716,                 2.8401,                 2.1627,                0.56855,                0.06964,                0.05279,                0.03454,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6085,                 2.7182,                 2.0276,                0.31807,                0.06964,                0.04387,                0.03167,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                 1.5213,                 2.6836,                 1.9408,                0.13354,                0.04881,                0.03628,                0.02761,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4468,                 2.6206,                 1.8738,                0.19655,                0.06964,                0.04596,                0.02988,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.3883,                 2.5418,                 1.8142,                0.10256,                0.03365,                0.04385,                0.01903,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4062,                 2.5473,                 1.7876,                0.22968,                0.06964,                0.05894,                0.04237,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3083,                 2.4744,                  1.701,                0.45934,                0.05343,                0.05797,                0.03289,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.2671,                 2.4398,                 1.6592,                0.27873,                 0.0398,                0.05867,                0.04005,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.2601,                 2.4216,                 1.6442,                0.62611,                0.05449,                0.06827,                0.04875,                    nan,                    nan,                    nan,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.2654,                 2.4407,                 1.6361,                0.32227,                0.02797,                0.03086,                0.02813,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.2391,                 2.3768,                 1.5888,                0.65054,                0.01282,                0.03083,                  0.026,                    nan,                    nan,                    nan,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.1959,                 2.3388,                 1.5475,                0.47872,                0.08339,                0.06657,                0.04509,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                     23,                 1.1951,                 2.2944,                  1.541,                 0.5081,                0.08353,                0.06771,                  0.046,                    nan,                    nan,                    nan,              0.0007921,              0.0007921,              0.0007921
                     24,                  1.189,                 2.3215,                 1.5307,                0.33084,                0.08066,                0.06684,                0.04826,                    nan,                    nan,                    nan,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.1813,                 2.2974,                 1.5226,                0.44794,                0.02797,                0.03121,                0.02184,                    nan,                    nan,                    nan,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.1404,                 2.2523,                 1.4923,                0.40395,                0.02797,                0.03044,                0.02435,                    nan,                    nan,                    nan,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.1093,                 2.2515,                 1.4539,                0.41771,                0.02797,                0.03074,                0.02632,                    nan,                    nan,                    nan,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.1602,                 2.2537,                  1.481,                0.42593,                0.02797,                0.03092,                0.02643,                    nan,                    nan,                    nan,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.0304,                 2.1512,                 1.3997,                0.43017,                0.02797,                0.03177,                0.02542,                    nan,                    nan,                    nan,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.0853,                 2.1685,                 1.4397,                0.22896,                0.02797,                0.03343,                0.02674,                    nan,                    nan,                    nan,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.0355,                 2.1584,                  1.403,                0.42572,                0.02797,                0.03572,                0.02905,                    nan,                    nan,                    nan,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.0513,                 2.1616,                 1.3927,                0.46887,                0.08353,                0.08189,                0.06164,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                     33,                 1.0428,                 2.1544,                 1.3834,                0.36873,                0.02797,                  0.032,                0.02737,                    nan,                    nan,                    nan,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.0071,                 2.1594,                 1.3676,                0.44049,                0.02797,                0.03224,                0.02757,                    nan,                    nan,                    nan,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.0602,                 2.1841,                  1.416,                0.32128,                0.02797,                0.04438,                0.03645,                    nan,                    nan,                    nan,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.0013,                 2.1551,                 1.3838,                0.60674,                0.02797,                0.03595,                0.02876,                    nan,                    nan,                    nan,              0.0006634,              0.0006634,              0.0006634
                     37,                0.96261,                 2.1207,                 1.3417,                0.78832,                0.02797,                0.03785,                0.03785,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                     38,                0.94815,                 2.1048,                 1.3269,                0.48853,                0.08353,                0.07605,                0.05864,                    nan,                    nan,                    nan,              0.0006436,              0.0006436,              0.0006436
                     39,                0.95852,                 2.0861,                 1.3237,                0.47513,                0.08353,                0.07868,                0.06489,                    nan,                    nan,                    nan,              0.0006337,              0.0006337,              0.0006337
                     40,                0.96388,                 2.1222,                 1.3304,                0.48104,                0.08353,                0.07033,                0.05918,                    nan,                    nan,                    nan,              0.0006238,              0.0006238,              0.0006238
                     41,                0.96577,                 2.1318,                 1.3314,                0.41786,                0.02797,                 0.0372,                0.03184,                    nan,                    nan,                    nan,              0.0006139,              0.0006139,              0.0006139
